Namespace(dropout=0.0, batch_size=32, hidden_units=128, use_aux_loss=False, lr=0.0001, num_agents=18, num_steps=8, reduce='log', epochs=350, warmup=0, self_loops=True, node_readout=False, use_step_readout_lin=False, gumbel_temp=0.66666667, gumbel_min_temp=0.66666667, gumbel_warmup=-1, gumbel_decay_epochs=50, min_lr_mult=1e-07, weight_decay=0.01, num_pos_attention_heads=1, clip_grad=1.0, readout_mlp=True, post_ln=False, attn_dropout=0.0, no_time_cond=False, mlp_width_mult=2, activation_function='leaky_relu', negative_slope=0.01, input_mlp=True, attn_width_mult=1, importance_init=False, random_agent=False, test_argmax=False, global_agent_pool=True, agent_global_extra=False, basic_global_agent=False, basic_agent=False, bias_attention=True, visited_decay=0.9, sparse_conv=False, mean_pool_only=False, edge_negative_slope=0.01, final_readout_only=False, target='0', aux_loss=False, complete_graph=True)
---- Target: 0 ----
40 <class 'int'>
AgentNet
Epoch: 073, LR: 0.000095, Loss: 0.0090759, Validation MAE: 0.1191791, Test MAE: 0.1009035, Time: 1396.6011, Mem: 13.070, Cached: 24.863
Epoch: 074, LR: 0.000095, Loss: 0.0096926, Validation MAE: 0.1183663, Test MAE: 0.1009035, Time: 1397.5926, Mem: 13.069, Cached: 24.863
Epoch: 075, LR: 0.000095, Loss: 0.0085951, Validation MAE: 0.1053234, Test MAE: 0.1009035, Time: 1397.6491, Mem: 13.070, Cached: 24.863
Epoch: 076, LR: 0.000094, Loss: 0.0090270, Validation MAE: 0.0998628, Test MAE: 0.1016675, Time: 1443.2335, Mem: 13.479, Cached: 24.863
Epoch: 077, LR: 0.000094, Loss: 0.0088492, Validation MAE: 0.1409344, Test MAE: 0.1016675, Time: 1396.6643, Mem: 13.070, Cached: 24.869
Epoch: 078, LR: 0.000094, Loss: 0.0087416, Validation MAE: 0.0958392, Test MAE: 0.0964877, Time: 1444.7466, Mem: 13.478, Cached: 24.869
Epoch: 079, LR: 0.000094, Loss: 0.0079271, Validation MAE: 0.1045618, Test MAE: 0.0964877, Time: 1397.1301, Mem: 13.069, Cached: 24.869
Epoch: 080, LR: 0.000094, Loss: 0.0082505, Validation MAE: 0.1000894, Test MAE: 0.0964877, Time: 1396.6386, Mem: 13.070, Cached: 24.869
Epoch: 081, LR: 0.000094, Loss: 0.0086722, Validation MAE: 0.0930421, Test MAE: 0.0956988, Time: 1444.0007, Mem: 13.479, Cached: 24.869
Epoch: 082, LR: 0.000093, Loss: 0.0082227, Validation MAE: 0.0966873, Test MAE: 0.0956988, Time: 1396.5770, Mem: 13.071, Cached: 24.869
Epoch: 083, LR: 0.000093, Loss: 0.0080499, Validation MAE: 0.0885744, Test MAE: 0.0892707, Time: 1443.8725, Mem: 13.480, Cached: 24.869
Epoch: 084, LR: 0.000093, Loss: 0.0077903, Validation MAE: 0.0996416, Test MAE: 0.0892707, Time: 1396.8175, Mem: 13.070, Cached: 24.869
Epoch: 085, LR: 0.000093, Loss: 0.0075183, Validation MAE: 0.1039485, Test MAE: 0.0892707, Time: 1397.0078, Mem: 13.070, Cached: 24.869
Epoch: 086, LR: 0.000093, Loss: 0.0079847, Validation MAE: 0.1167316, Test MAE: 0.0892707, Time: 1396.1593, Mem: 13.070, Cached: 24.869
Epoch: 087, LR: 0.000093, Loss: 0.0073243, Validation MAE: 0.0909179, Test MAE: 0.0892707, Time: 1398.8626, Mem: 13.069, Cached: 24.869
Epoch: 088, LR: 0.000092, Loss: 0.0072920, Validation MAE: 0.1003238, Test MAE: 0.0892707, Time: 1396.8744, Mem: 13.070, Cached: 24.869
Epoch: 089, LR: 0.000092, Loss: 0.0072071, Validation MAE: 0.0959060, Test MAE: 0.0892707, Time: 1398.0566, Mem: 13.070, Cached: 24.869
Epoch: 090, LR: 0.000092, Loss: 0.0069948, Validation MAE: 0.0948671, Test MAE: 0.0892707, Time: 1397.4469, Mem: 13.070, Cached: 24.869
Epoch: 091, LR: 0.000092, Loss: 0.0070758, Validation MAE: 0.1054559, Test MAE: 0.0892707, Time: 1397.6066, Mem: 13.070, Cached: 24.869
Epoch: 092, LR: 0.000092, Loss: 0.0073982, Validation MAE: 0.0925032, Test MAE: 0.0892707, Time: 1398.2403, Mem: 13.070, Cached: 24.869
Epoch: 093, LR: 0.000092, Loss: 0.0064733, Validation MAE: 0.0904291, Test MAE: 0.0892707, Time: 1397.9747, Mem: 13.070, Cached: 24.869
Epoch: 094, LR: 0.000091, Loss: 0.0067227, Validation MAE: 0.0883087, Test MAE: 0.0880781, Time: 1446.7681, Mem: 13.479, Cached: 24.869
